subject_20, Epoch 12, Test Accuracy: 67.50%
subject_20, Epoch 13, Test Accuracy: 68.33%
subject_20, Epoch 14, Test Accuracy: 68.33%
subject_20, Epoch 15, Test Accuracy: 67.50%
subject_21, Epoch 1, Test Accuracy: 27.50%
subject_21, Epoch 2, Test Accuracy: 35.83%
subject_21, Epoch 3, Test Accuracy: 36.67%
subject_21, Epoch 4, Test Accuracy: 44.17%
subject_21, Epoch 5, Test Accuracy: 42.50%
subject_21, Epoch 6, Test Accuracy: 39.17%
subject_21, Epoch 7, Test Accuracy: 46.67%
subject_21, Epoch 8, Test Accuracy: 45.83%
subject_21, Epoch 9, Test Accuracy: 47.50%
subject_21, Epoch 10, Test Accuracy: 43.33%
subject_21, Epoch 1, Test Accuracy: 53.33%
subject_21, Epoch 2, Test Accuracy: 42.50%
subject_21, Epoch 3, Test Accuracy: 50.00%
subject_21, Epoch 4, Test Accuracy: 52.50%
subject_21, Epoch 5, Test Accuracy: 56.67%
subject_21, Epoch 6, Test Accuracy: 55.00%
subject_21, Epoch 7, Test Accuracy: 56.67%
subject_21, Epoch 8, Test Accuracy: 53.33%
subject_21, Epoch 9, Test Accuracy: 54.17%
subject_21, Epoch 10, Test Accuracy: 56.67%
subject_21, Epoch 11, Test Accuracy: 55.83%
subject_21, Epoch 12, Test Accuracy: 57.50%
subject_21, Epoch 13, Test Accuracy: 56.67%
subject_21, Epoch 14, Test Accuracy: 56.67%
subject_21, Epoch 15, Test Accuracy: 56.67%
subject_22, Epoch 1, Test Accuracy: 49.17%
subject_22, Epoch 2, Test Accuracy: 58.33%
subject_22, Epoch 3, Test Accuracy: 56.67%
subject_22, Epoch 4, Test Accuracy: 60.00%
subject_22, Epoch 5, Test Accuracy: 61.67%
subject_22, Epoch 6, Test Accuracy: 68.33%
subject_22, Epoch 7, Test Accuracy: 62.50%
subject_22, Epoch 8, Test Accuracy: 64.17%
subject_22, Epoch 9, Test Accuracy: 63.33%
subject_22, Epoch 10, Test Accuracy: 65.83%
subject_22, Epoch 1, Test Accuracy: 65.83%
subject_22, Epoch 2, Test Accuracy: 72.50%
subject_22, Epoch 3, Test Accuracy: 69.17%
